province,district,subdistrict,sector,organisationunitname,fosaid,type,openmrs.db.name
East,Kirehe District,Kirehe Sub District,Kigarama (Kirehe  District),Kigarama CS,1460,Health Center,a1460
South,Nyanza District,Nyanza Sub District,Kibilizi,Mututu CS,1427,Health Center,a1427
North,Rulindo District,Rutongo Sub District,Murambi,Bubangu CS,1426,Health Center,a1426
North,Rulindo District,Rutongo Sub District,BUREGA,Burega CS,1425,Health Center,a1425
West,Rusizi District,Gihundwe Sub District,Kamembe,Mont Cyangugu CS,1403,Health Center,a1403
West,Nyamasheke District,Kibogora Sub District,Karambi,Cyivugiza (Nyamasheke) CS,1393,Health Center,a1393
North,Gicumbi District,Byumba Sub District,Cyumba,Cyumba CS,1346,Health Center,a1346
North,Gicumbi District,Byumba Sub District,Ruvune,Ruvune CS,1345,Health Center,a1345
South,Nyamagabe District,Kaduha Sub District,Buruhukiro,Buruhukiro CS,1343,Health Center,a1343
South,Kamonyi District,Remera Rukoma Sub District,Nyamiyaga,Nyamiyaga (Kamonyi) CS,1342,Health Center,a1342
West,Rusizi District,Mibilizi Sub District,Nzahaha,Rwinzuki CS,1341,Health Center,a1341
West,Rusizi District,Mibilizi Sub District,Gikundamvura,Gikundamvura CS,1340,Health Center,a1340
Kigali City,Nyarugenge District,Muhima Sub District,Kanyinya,Kanyinya CS,1337,Health Center,a1337
Kigali City,Nyarugenge District,Muhima Sub District,Mageragere,Nyarurenzi CS,1328,Health Center,a1328
East,Kirehe District,Kirehe Sub District,Gatore,Rwantonde CS,1325,Health Center,a1325
East,Bugesera District,Nyamata Sub District,Nyarugenge (Bugesera District),Nyarugenge CS,1323,Health Center,a1323
South,Muhanga District,Kabgayi Sub District,Nyarusange,Gikomero (Kabgayi) CS,1322,Health Center,a1322
South,Muhanga District,Kabgayi Sub District,Rugendabari,Rugendabali CS,1321,Health Center,a1321
East,Kirehe District,Kirehe Sub District,Mahama,Mahama CS,1320,Health Center,a1320
South,Ruhango District,Gitwe Sub District,Mwendo,Mwendo (Gitwe) CS,1319,Health Center,a1319
North,Rulindo District,Kinihira Sub District,KINIHIRA (Rulindo),Kinihira PH,1313,Provincial Hospital,a1313
South,Ruhango District,Gitwe Sub District,Kabagali,Munanira CS,1310,Health Center,a1310
Kigali City,Kicukiro District,Masaka Sub District,Gatenga,Gatenga CS,1306,Health Center,a1306
South,Nyamagabe District,Kigeme Sub District,Kibirizi (Nyamagabe District),Kibirizi (Nyamagabe) CS,1280,Health Center,a1280
North,Burera District,Butaro Sub District,Gitovu,Ruhombo CS,1279,Health Center,a1279
North,Burera District,Butaro Sub District,Cyeru,Ndongozi CS,1278,Health Center,a1278
South,Ruhango District,Ruhango Sub District,Kinazi (Ruhango  District),Ruhango PH,1277,Provincial Hospital,a1277
Kigali City,Kicukiro District,Masaka Sub District,Masaka,Masaka DH,1234,District Hospital,a1234
West,Rusizi District,Mibilizi Sub District,Nyakarenzo,Nyakarenzo CS,1233,Health Center,a1233
West,Rubavu District,Gisenyi Sub District,Bugeshi,Bugeshi CS,1232,Health Center,a1232
North,Rulindo District,Rutongo Sub District,RUSIGA,Kinini CS,1231,Health Center,a1231
South,Nyaruguru District,Munini Sub District,Ngera,Ngera CS,1230,Health Center,a1230
Kigali City,Gasabo District,Kibagabaga Sub District,Kinyinya,Rwanda Women's Network CS,1229,Health Center,a1229
Kigali City,Gasabo District,Kibagabaga Sub District,Rusororo,SOLACE MINISTRIES CS,1228,Health Center,a1228
North,Musanze District,Ruhengeri Sub District,Gataraga,Gataraga (MUSANZE) CS,1103,Health Center,a1103
North,Gicumbi District,Byumba Sub District,Miyove,Prison Miyove,1102,Prison Clinic,a1102
East,Bugesera District,Nyamata Sub District,Ntarama,Ntarama CS,1101,Health Center,a1101
Kigali City,Gasabo District,Kibagabaga Sub District,Gikomero,Gikomero II CS,654,Health Center,a0654
West,Rusizi District,Gihundwe Sub District,Giheke,Giheke CS,651,Health Center,a0651
West,Rubavu District,Gisenyi Sub District,Kanzenze,Kabari (Rubavu) CS,647,Health Center,a0647
South,Nyamagabe District,Kigeme Sub District,Uwinkingi,Uwinkingi CS,646,Health Center,a0646
South,Nyamagabe District,Kigeme Sub District,Kitabi,Shaba (nyamagabe) CS,645,Health Center,a0645
East,Nyagatare District,Nyagatare Sub District,KATABAGEMU,Nyakigando (Nyagatare) CS,643,Health Center,a0643
East,Nyagatare District,Nyagatare Sub District,KARANGAZI,Ndama (nyagatare) CS,642,Health Center,a0642
West,Nyabihu District,Shyira Sub District,Kintobo,Kintobo CS,637,Health Center,a0637
East,Ngoma District,Kibungo Sub District,Kibungo,Rubona (ngoma) CS,628,Health Center,a0628
East,Ngoma District,Kibungo Sub District,Remera (Ngoma  District),Gasetsa CS,625,Health Center,a0625
North,Musanze District,Ruhengeri Sub District,Kimonyi,Kimonyi CS,622,Health Center,a0622
West,Karongi District,Kibuye Sub District,Rwankuba,Bisesero (karongi) CS,617,Health Center,a0617
South,Huye District,Kabutare Sub District,Maraba,Maraba (huye) CS,616,Health Center,a0616
South,Gisagara District,Gakoma Sub District,Gishubi,Gishubi CS,612,Health Center,a0612
East,Gatsibo District,Ngarama Sub District,Gatsibo,Gatsibo CS,606,Health Center,a0606
North,Burera District,Butaro Sub District,Cyanika (Burera  District),Cyanika (burera) CS,605,Health Center,a0605
East,Bugesera District,Nyamata Sub District,Ngeruka,Ngeruka CS,604,Health Center,a0604
East,Bugesera District,Nyamata Sub District,Juru,Juru CS,603,Health Center,a0603
North,Musanze District,Ruhengeri Sub District,Gashaki,Gashaki CS,602,Health Center,a0602
South,Nyanza District,Nyanza Sub District,Kigoma,Gahombo CS,600,Health Center,a0600
East,Ngoma District,Kibungo Sub District,Kibungo,Prison Kibungo Pris,596,Prison Clinic,a0596
East,Nyagatare District,Nyagatare Sub District,NYAGATARE,Nyagatare Prison,595,Prison Clinic,a0595
East,Kayonza District,Gahini Sub District,Mwiri,Kageyo I (Kayonza Gahini) CS,594,Health Center,a0594
South,Nyanza District,Nyanza Sub District,Rwabicuma,Nyarusange (nyanza) CS,593,Health Center,a0593
South,Nyaruguru District,Munini Sub District,Kivu,Kivu CS,592,Health Center,a0592
South,Nyaruguru District,Munini Sub District,NGOMA,Ngoma CS,591,Health Center,a0591
North,Burera District,Butaro Sub District,Gahunga,Gahunga CS,586,Health Center,a0586
East,Rwamagana District,Rwamagana Sub District,Muhazi,Murambi (rwamagana) CS,585,Health Center,a0585
West,Rusizi District,Gihundwe Sub District,Kamembe,Prison Rusizi,584,Prison Clinic,a0584
West,Nyamasheke District,Kibogora Sub District,Karambi,Ngange CS,573,Health Center,a0573
South,Nyamagabe District,Kaduha Sub District,Mugano,Mugano CS,562,Health Center,a0562
East,Gatsibo District,Kiziguro Sub District,Gitoki,Gitoki CS,561,Health Center,a0561
Kigali City,Kicukiro District,Masaka Sub District,Nyarugunga,Nyarugunga CS,558,Health Center,a0558
Kigali City,Gasabo District,Kibagabaga Sub District,Bumbogo,Bumbogo (ex-Gikomero I) CS,552,Health Center,a0552
Kigali City,Gasabo District,Kibagabaga Sub District,Nduba,Nduba CS,551,Health Center,a0551
East,Rwamagana District,Rwamagana Sub District,Muhazi,Prison Nsinda Pris,550,Prison Clinic,a0550
East,Rwamagana District,Rwamagana Sub District,Muhazi,Avega Rwamagana CS,547,Health Center,a0547
West,Nyamasheke District,Kibogora Sub District,Mahembe,Mahembe CS,546,Health Center,a0546
South,Nyamagabe District,Kaduha Sub District,Kibumbwe,Kibumbwe CS,545,Health Center,a0545
North,Musanze District,Ruhengeri Sub District,Muhoza,Prison Ruhengeri DISP,536,Prison Clinic,a0536
North,Rulindo District,Kinihira Sub District,BASE,Mushongi CS,518,Health Center,a0518
North,Rulindo District,Kinihira Sub District,CYUNGO,Marembo CS,517,Health Center,a0517
North,Rulindo District,Kinihira Sub District,KISARO,Kisaro CS,516,Health Center,a0516
Kigali City,Gasabo District,Kibagabaga Sub District,Jali,Gihogwe CS,513,Health Center,a0513
North,Burera District,Butaro Sub District,Rwerere,Rwerere CS,505,Health Center,a0505
East,Rwamagana District,Rwamagana Sub District,Gahengeri,Gahengeri CS,497,Health Center,a0497
East,Kayonza District,Gahini Sub District,Murundi (Kayonza District),Buhabwa CS,496,Health Center,a0496
South,Nyamagabe District,Kigeme Sub District,Gasaka,Prison Gikongoro Pris,492,Prison Clinic,a0492
North,Gakenke District,Nemba Sub District,Kamubuga ,Kamubuga CS,483,Health Center,a0483
West,Ngororero District,Kabaya Sub District,HINDIRO,Hindiro CS,474,Health Center,a0474
West,Ngororero District,Kabaya Sub District,MATYAZO,Gashonyi CS,472,Health Center,a0472
East,Gatsibo District,Ngarama Sub District,Gatsibo,Camp Nyabiheke CS,463,Health Center,a0463
West,Karongi District,Kibuye Sub District,Rwankuba,Kiziba Camp CS,462,Health Center,a0462
North,Gicumbi District,Byumba Sub District,KAGEYO,Camp Gihembe CS,461,Health Center,a0461
East,Bugesera District,Nyamata Sub District,Ruhuha,Ruhuha CS,458,Health Center,a0458
East,Bugesera District,Nyamata Sub District,Ririma,Rilima CS,457,Health Center,a0457
East,Bugesera District,Nyamata Sub District,Ririma,Prison Rilima Prison DISP,456,Prison Clinic,a0456
East,Bugesera District,Nyamata Sub District,Rweru,Nzangwa CS,455,Health Center,a0455
East,Bugesera District,Nyamata Sub District,Nyamata,Nyamata DH,454,District Hospital,a0454
East,Bugesera District,Nyamata Sub District,Nyamata,Nyamata CS,453,Health Center,a0453
East,Bugesera District,Nyamata Sub District,Mwogo,Mwogo CS,452,Health Center,a0452
East,Bugesera District,Nyamata Sub District,Mayange,Mayange (bugesera) CS,451,Health Center,a0451
East,Bugesera District,Nyamata Sub District,Mareba,Mareba CS,450,Health Center,a0450
East,Bugesera District,Nyamata Sub District,Kamabuye,Kamabuye CS,449,Health Center,a0449
East,Bugesera District,Nyamata Sub District,Shyara,Gihinga CS,448,Health Center,a0448
East,Bugesera District,Nyamata Sub District,Gashora,Gashora CS,447,Health Center,a0447
East,Bugesera District,Nyamata Sub District,Musenyi,Gakurazo CS,446,Health Center,a0446
East,Ngoma District,Kibungo Sub District,Zaza,Zaza CS,445,Health Center,a0445
East,Ngoma District,Kibungo Sub District,Zaza,Sangaza CS,444,Health Center,a0444
East,Ngoma District,Kibungo Sub District,Rukumberi,Rukumberi CS,443,Health Center,a0443
East,Ngoma District,Kibungo Sub District,Sake,Rukoma Sake CS,442,Health Center,a0442
East,Ngoma District,Kibungo Sub District,Murama (Ngoma  District),Rukira CS,441,Health Center,a0441
East,Ngoma District,Kibungo Sub District,Remera (Ngoma  District),Remera (Ngoma) CS,440,Health Center,a0440
East,Ngoma District,Kibungo Sub District,Mugesera,Nyange CS,439,Health Center,a0439
East,Ngoma District,Kibungo Sub District,Mutenderi,Mutenderi CS,438,Health Center,a0438
East,Ngoma District,Kibungo Sub District,Rurenge,Kirwa CS,437,Health Center,a0437
East,Ngoma District,Kibungo Sub District,Kibungo,Kibungo RH,436,Referral Hospital,a0436
East,Ngoma District,Kibungo Sub District,Kibungo,Kibungo CS,435,Health Center,a0435
East,Ngoma District,Kibungo Sub District,Jarama,Jarama CS,434,Health Center,a0434
East,Ngoma District,Kibungo Sub District,Rukira,Gituku CS,433,Health Center,a0433
East,Kirehe District,Kirehe Sub District,Nyamugari,Rusumo CS,432,Health Center,a0432
East,Kirehe District,Kirehe Sub District,Nyarubuye,Nyarubuye (kirehe) CS,431,Health Center,a0431
East,Kirehe District,Kirehe Sub District,Nyarubuye,Nyabitare (kirehe) CS,430,Health Center,a0430
East,Kirehe District,Kirehe Sub District,Nasho,Ntaruka (nasho Kirehe) CS,429,Health Center,a0429
East,Kirehe District,Kirehe Sub District,Mpanga,Nasho CS,428,Health Center,a0428
East,Kirehe District,Kirehe Sub District,Mushikiri,Mushikiri CS,427,Health Center,a0427
East,Kirehe District,Kirehe Sub District,Musaza,Musaza CS,426,Health Center,a0426
East,Kirehe District,Kirehe Sub District,Nasho,Mulindi (kirehe) CS,425,Health Center,a0425
East,Kirehe District,Kirehe Sub District,Kirehe,Kirehe DH,424,District Hospital,a0424
East,Kirehe District,Kirehe Sub District,Kirehe,Kirehe CS,423,Health Center,a0423
East,Kirehe District,Kirehe Sub District,Mpanga,Kabuye (kirehe) CS,422,Health Center,a0422
East,Kirehe District,Kirehe Sub District,Gahara,Gashongora CS,421,Health Center,a0421
East,Kirehe District,Kirehe Sub District,Gahara,Gahara CS,420,Health Center,a0420
East,Kirehe District,Kirehe Sub District,Nyamugari,Bukora CS,419,Health Center,a0419
East,Kayonza District,Gahini Sub District,Murundi (Kayonza District),Ryamanyoni CS,418,Health Center,a0418
East,Kayonza District,Rwinkwavu Sub District,Rwinkwavu,Rwinkwavu DH,417,District Hospital,a0417
East,Kayonza District,Rwinkwavu Sub District,Rwinkwavu,Rwinkwavu CS,416,Health Center,a0416
East,Kayonza District,Gahini Sub District,Mukarange (Kayonza District),Rutare (kayonza) CS,415,Health Center,a0415
East,Kayonza District,Rwinkwavu Sub District,Ruramira,Ruramira CS,414,Health Center,a0414
East,Kayonza District,Gahini Sub District,Rukara,Rukara CS,413,Health Center,a0413
East,Kayonza District,Rwinkwavu Sub District,Nyamirama,Nyamirama CS,412,Health Center,a0412
East,Kayonza District,Gahini Sub District,Mwiri,Nyakabungo CS,411,Health Center,a0411
East,Kayonza District,Rwinkwavu Sub District,Ndego,Ndego CS,410,Health Center,a0410
East,Kayonza District,Gahini Sub District,Mukarange (Kayonza District),Mukarange CS,409,Health Center,a0409
East,Kayonza District,Rwinkwavu Sub District,Murama,Karama (kayonza) CS,408,Health Center,a0408
East,Kayonza District,Rwinkwavu Sub District,Kabarondo,Kabarondo (kayonza) CS,407,Health Center,a0407
East,Kayonza District,Gahini Sub District,Gahini,Gahini DH,406,District Hospital,a0406
East,Kayonza District,Gahini Sub District,Gahini,Gahini CS,405,Health Center,a0405
East,Kayonza District,Rwinkwavu Sub District,Kabare,Cyarubare CS,404,Health Center,a0404
East,Gatsibo District,Kiziguro Sub District,Murambi (Gatsibo District),Rwimitereri CS,403,Health Center,a0403
East,Gatsibo District,Kiziguro Sub District,Rwimbogo (Gatsibo District),Rwembogo CS,402,Health Center,a0402
East,Gatsibo District,Kiziguro Sub District,Rugarama (Gatsibo District),Rugarama (gatsibo) CS,401,Health Center,a0401
East,Gatsibo District,Ngarama Sub District,Nyagihanga,Nyagihanga CS,400,Health Center,a0400
East,Gatsibo District,Ngarama Sub District,Gatsibo,Nyagahanga CS,399,Health Center,a0399
East,Gatsibo District,Ngarama Sub District,Ngarama,Ngarama DH,398,District Hospital,a0398
East,Gatsibo District,Ngarama Sub District,Ngarama,Ngarama CS,397,Health Center,a0397
East,Gatsibo District,Kiziguro Sub District,Muhura,Muhura CS,396,Health Center,a0396
East,Gatsibo District,Kiziguro Sub District,Kiziguro,Kiziguro DH,395,District Hospital,a0395
East,Gatsibo District,Kiziguro Sub District,Kiziguro,Kiziguro (gatsibo) CS,394,Health Center,a0394
East,Gatsibo District,Ngarama Sub District,Ngarama,Kibondo CS,393,Health Center,a0393
East,Gatsibo District,Ngarama Sub District,Kageyo (Gatsibo District),Kageyo (gatsibo) CS,392,Health Center,a0392
East,Gatsibo District,Kiziguro Sub District,Kabarore,Kabarore CS,391,Health Center,a0391
East,Gatsibo District,Kiziguro Sub District,Remera (Gatsibo District),Humure CS,390,Health Center,a0390
East,Gatsibo District,Ngarama Sub District,Kageyo (Gatsibo District),Gituza CS,389,Health Center,a0389
East,Gatsibo District,Kiziguro Sub District,Gasange,Gasange CS,388,Health Center,a0388
East,Gatsibo District,Kiziguro Sub District,Kiramuruzi,Gakenke CS,387,Health Center,a0387
East,Gatsibo District,Kiziguro Sub District,Remera (Gatsibo District),Bugarura CS,386,Health Center,a0386
East,Nyagatare District,Nyagatare Sub District,TABAGWE,Tabagwe CS,385,Health Center,a0385
East,Nyagatare District,Nyagatare Sub District,RWEMPASHA,Rwempasha CS,384,Health Center,a0384
East,Nyagatare District,Nyagatare Sub District,RUKOMO,Rurenge CS,383,Health Center,a0383
East,Nyagatare District,Nyagatare Sub District,RUKOMO,Rukomo CS,382,Health Center,a0382
East,Nyagatare District,Nyagatare Sub District,GATUNDA,Nyarurema CS,381,Health Center,a0381
East,Nyagatare District,Nyagatare Sub District,NYAGATARE,Nyagatare DH,380,District Hospital,a0380
East,Nyagatare District,Nyagatare Sub District,NYAGATARE,Nyagatare CS,379,Health Center,a0379
East,Nyagatare District,Nyagatare Sub District,MIMURI,Nyagahita CS,378,Health Center,a0378
East,Nyagatare District,Nyagatare Sub District,MUSHERI,Ntoma CS,376,Health Center,a0376
East,Nyagatare District,Nyagatare Sub District,MUKAMA,Muhambo CS,375,Health Center,a0375
East,Nyagatare District,Nyagatare Sub District,MIMURI,Mimuri CS,374,Health Center,a0374
East,Nyagatare District,Nyagatare Sub District,MATIMBA,Matimba CS,373,Health Center,a0373
East,Nyagatare District,Nyagatare Sub District,KATABAGEMU,Katabagemu CS,372,Health Center,a0372
East,Nyagatare District,Nyagatare Sub District,NYAGATARE,Karangazi CS,371,Health Center,a0371
East,Nyagatare District,Nyagatare Sub District,MATIMBA,Kagitumba CS,370,Health Center,a0370
East,Nyagatare District,Nyagatare Sub District,Karama (Nyagatare),Kabuga (karama Nyagatare) CS,369,Health Center,a0369
East,Nyagatare District,Nyagatare Sub District,KIYOMBE,Cyondo CS,368,Health Center,a0368
East,Nyagatare District,Nyagatare Sub District,NYAGATARE,Cyabayaga CS,367,Health Center,a0367
East,Nyagatare District,Nyagatare Sub District,RWIMIYAGA,Bugaragara CS,366,Health Center,a0366
East,Rwamagana District,Rwamagana Sub District,Kigabiro,Rwamagana PH,365,Provincial Hospital,a0365
East,Rwamagana District,Rwamagana Sub District,Kigabiro,Rwamagana CS,364,Health Center,a0364
East,Rwamagana District,Rwamagana Sub District,Gishali,Ruhunda CS,363,Health Center,a0363
East,Rwamagana District,Rwamagana Sub District,Rubona,Rubona (rwamagana) CS,362,Health Center,a0362
East,Rwamagana District,Rwamagana Sub District,Nzige,Nzige CS,361,Health Center,a0361
East,Rwamagana District,Rwamagana Sub District,Nyakaliro,Nyakaliro CS,360,Health Center,a0360
East,Rwamagana District,Rwamagana Sub District,Fumbwe,Nyagasambu CS,359,Health Center,a0359
East,Rwamagana District,Rwamagana Sub District,Muyumbu,Muyumbu CS,358,Health Center,a0358
East,Rwamagana District,Rwamagana Sub District,Musha (Rwamagana  District),Musha (rwamagana) CS,357,Health Center,a0357
East,Rwamagana District,Rwamagana Sub District,Munyaga,Munyaga CS,356,Health Center,a0356
East,Rwamagana District,Rwamagana Sub District,Karenge,Karenge CS,355,Health Center,a0355
East,Rwamagana District,Rwamagana Sub District,Gishali,Gishari(Police) CS,354,Health Center,a0354
North,Gicumbi District,Byumba Sub District,Giti,Tanda CS,353,Health Center,a0353
North,Gicumbi District,Byumba Sub District,Rwamiko,Rwesero CS,352,Health Center,a0352
North,Gicumbi District,Byumba Sub District,Rutare,Rutare (gicumbi) CS,351,Health Center,a0351
North,Gicumbi District,Byumba Sub District,Rushaki,Rushaki CS,350,Health Center,a0350
North,Gicumbi District,Byumba Sub District,Byumba,Ruhenda CS,349,Health Center,a0349
North,Gicumbi District,Byumba Sub District,Rubaya,Rubaya (gicumbi) CS,348,Health Center,a0348
North,Gicumbi District,Byumba Sub District,Mutete,Musenyi (gicumbi) CS,347,Health Center,a0347
North,Gicumbi District,Byumba Sub District,RUKOMO,Munyinya CS,346,Health Center,a0346
North,Gicumbi District,Byumba Sub District,Kaniga,Mulindi (gicumbi) CS,345,Health Center,a0345
North,Gicumbi District,Byumba Sub District,Bwisige,Mukono CS,344,Health Center,a0344
North,Gicumbi District,Byumba Sub District,Muko (Gicumbi  District),Muko CS,343,Health Center,a0343
North,Gicumbi District,Byumba Sub District,KAGEYO,Muhondo (kageyo) CS,342,Health Center,a0342
North,Gicumbi District,Byumba Sub District,Miyove,Miyove CS,341,Health Center,a0341
North,Gicumbi District,Byumba Sub District,Manyagiro,Manyagiro CS,340,Health Center,a0340
North,Gicumbi District,Byumba Sub District,Nyankenke,Kigogo CS,339,Health Center,a0339
North,Gicumbi District,Byumba Sub District,Bukure,Giti CS,338,Health Center,a0338
North,Gicumbi District,Byumba Sub District,RUKOMO,Gisiza CS,337,Health Center,a0337
North,Gicumbi District,Byumba Sub District,Byumba,Byumba DH,336,District Hospital,a0336
North,Gicumbi District,Byumba Sub District,Byumba,Byumba CS,335,Health Center,a0335
North,Gicumbi District,Byumba Sub District,Bwisige,Bwisige CS,334,Health Center,a0334
North,Gicumbi District,Byumba Sub District,Shangasha,Bushara CS,333,Health Center,a0333
North,Burera District,Butaro Sub District,Kivuye,Rusasa CS,332,Health Center,a0332
North,Burera District,Butaro Sub District,Ruhunde,Ruhunde CS,331,Health Center,a0331
North,Burera District,Butaro Sub District,Nemba,Nyamugali CS,330,Health Center,a0330
North,Burera District,Butaro Sub District,Kinoni,Ntaruka (kinoni Burera) CS,329,Health Center,a0329
North,Burera District,Butaro Sub District,Rugengabari,Mucaca CS,328,Health Center,a0328
North,Burera District,Butaro Sub District,Kivuye,Kivuye CS,327,Health Center,a0327
North,Burera District,Butaro Sub District,Rusarabuye,Kirambo (burera) CS,326,Health Center,a0326
North,Burera District,Butaro Sub District,Kinyababa,Kinyababa CS,325,Health Center,a0325
North,Burera District,Butaro Sub District,Kinoni,Kinoni CS,324,Health Center,a0324
North,Burera District,Butaro Sub District,Kagogo,Gitare CS,323,Health Center,a0323
North,Burera District,Butaro Sub District,Butaro,Butaro DH,322,District Hospital,a0322
North,Burera District,Butaro Sub District,Butaro,Butaro CS,321,Health Center,a0321
North,Burera District,Butaro Sub District,Bungwe,Bungwe (burera) CS,320,Health Center,a0320
North,Musanze District,Ruhengeri Sub District,Shingiro,Shingiro CS,319,Health Center,a0319
North,Musanze District,Ruhengeri Sub District,Rwaza,Rwaza CS,318,Health Center,a0318
North,Musanze District,Ruhengeri Sub District,Muhoza,Ruhengeri RH,317,Referral Hospital,a0317
North,Musanze District,Ruhengeri Sub District,Muhoza,Muhoza (Ruhengeri) CS,316,Health Center,a0316
North,Musanze District,Ruhengeri Sub District,Nkotsi,Nyakinama CS,315,Health Center,a0315
North,Musanze District,Ruhengeri Sub District,Remera (Musanze  District),Murandi CS,314,Health Center,a0314
North,Musanze District,Ruhengeri Sub District,Kinigi,Kinigi CS,313,Health Center,a0313
North,Musanze District,Ruhengeri Sub District,Cyuve,Karwasa CS,312,Health Center,a0312
North,Musanze District,Ruhengeri Sub District,Muko,Kabere CS,311,Health Center,a0311
North,Musanze District,Ruhengeri Sub District,Cyuve,Gasiza (musanze) CS,310,Health Center,a0310
North,Musanze District,Ruhengeri Sub District,Busogo,Busogo CS,309,Health Center,a0309
North,Musanze District,Ruhengeri Sub District,Kinigi,Bisate CS,308,Health Center,a0308
North,Gakenke District,Ruli Sub District,Rushashi ,Rwankuba CS,307,Health Center,a0307
North,Gakenke District,Nemba Sub District,Gashenyi ,Rutenderi CS,306,Health Center,a0306
North,Gakenke District,Nemba Sub District,Janja ,Rutake CS,305,Health Center,a0305
North,Gakenke District,Nemba Sub District,Muzo ,Rusoro CS,304,Health Center,a0304
North,Gakenke District,Ruli Sub District,Rushashi ,Rushashi CS,303,Health Center,a0303
North,Gakenke District,Ruli Sub District,Ruli ,Ruli DH,302,District Hospital,a0302
North,Gakenke District,Ruli Sub District,Ruli ,Ruli CS,301,Health Center,a0301
North,Gakenke District,Nemba Sub District,Gashenyi ,Rukura CS,300,Health Center,a0300
North,Gakenke District,Nemba Sub District,Rusasa ,Nyundo (gakenke) CS,299,Health Center,a0299
North,Gakenke District,Ruli Sub District,Coko ,Nyange (ruli) CS,298,Health Center,a0298
North,Gakenke District,Nemba Sub District,Nemba ,Nemba DH,297,District Hospital,a0297
North,Gakenke District,Nemba Sub District,Nemba ,Nemba CS,296,Health Center,a0296
North,Gakenke District,Ruli Sub District,Muhondo ,Muhondo (gakenke) CS,295,Health Center,a0295
North,Gakenke District,Nemba Sub District,Mataba ,Mataba CS,294,Health Center,a0294
North,Gakenke District,Nemba Sub District,Karambo ,Karambo (gakenke) CS,293,Health Center,a0293
North,Gakenke District,Nemba Sub District,Janja ,Janja CS,292,Health Center,a0292
North,Gakenke District,Nemba Sub District,Mugunga ,Gatonde CS,291,Health Center,a0291
North,Gakenke District,Nemba Sub District,Cyabingo ,Cyabingo CS,290,Health Center,a0290
North,Gakenke District,Ruli Sub District,Coko ,Coko (ruli) CS,289,Health Center,a0289
North,Gakenke District,Nemba Sub District,Kivuruga ,Bushoka CS,288,Health Center,a0288
North,Gakenke District,Nemba Sub District,Busengo ,Busengo CS,287,Health Center,a0287
North,Rulindo District,Kinihira Sub District,TUMBA,Tumba CS,286,Health Center,a0286
North,Rulindo District,Kinihira Sub District,BUSHOKI,Tare CS,285,Health Center,a0285
North,Rulindo District,Rutongo Sub District,SHYORONGI,Shyorongi CS,284,Health Center,a0284
North,Rulindo District,Rutongo Sub District,SHYORONGI,Rwahi CS,283,Health Center,a0283
North,Rulindo District,Rutongo Sub District,NGOMA,Rutongo DH,282,District Hospital,a0282
North,Rulindo District,Rutongo Sub District,SHYORONGI,Rutonde CS,281,Health Center,a0281
North,Rulindo District,Rutongo Sub District,MBOGO,Rulindo CS,280,Health Center,a0280
North,Rulindo District,Kinihira Sub District,RUKOZO,Rukozo CS,279,Health Center,a0279
North,Rulindo District,Rutongo Sub District,NGOMA,Remera-mbogo CS,278,Health Center,a0278
